uz,ru
"Қўшилган қиймат солиғи", "Налог на добавленную стоимость"
"Акциз солиғи", "Акцизный налог"
"Фойда солиғи", "Налог на прибыль"
"Фойда солиғи
(Дивидендлар ва фоизлар кўринишида тўланадиган даромадлар учун)", "Налог на прибыль
(Для доходов, выплачиваемых в виде дивидендов и процентов)"
"Фойда солиғи
(Норезидентларнинг даромадидан ушлаб қолинадиган солиқ)", "Налог на прибыль
(Удерживаемый налог с доходов нерезидентов)"
"Жисмоний шахслардан олинадиган даромад солиғи ва ижтимоий солиқ", "Налог на доходы физических лиц и социальный налог"
"Мол-мулк солиғи", "Налог на имущество"
"Ер солиғи
(Қишлоқ хўжалиги учун мўлжалланмаган ерлар учун)", "Земельный налог
(Земли для несельскохозяйственного назначения)"
"Ер солиғи
(Қишлоқ хўжалигига мўлжалланган ерлар учун)", "Земельный налог
(Земли для сельскохозяйственного назначения)"
"Сув ресурсларидан фойдаланганлик учун солиқ
(Юридик шахслар учун)", "Налог за пользование водными ресурсами
(Для юридических лиц)"
"Сув ресурсларидан фойдаланганлик учун солиқ
(Қишлоқ хўжалик корхоналари учун)", "Налог за пользование водными ресурсами
(Для сельскохозяйственных предприяти)"
"Сув ресурсларидан фойдаланганлик учун солиқ
(Норезидентлар ва ЯТТлар учун)", "Налог за пользование водными ресурсами
(Для нерезидентов и индивидуальных предпринимателей)"
"Ер қаъридан фойдаланганлик учун солиқ
(Юридик шахслари учун)", "Налог за пользование недрами
(Для юридических лиц)"
"Ер қаъридан фойдаланганлик учун солиқ
(Жисмоний шахслари учун)", "Налог за пользование недрами
(Для физических лиц)"
"Фойдали қазилмаларни қазиб олганлик учун махсус рента солиғи", "Специальный рентный налог на добычу полезных ископаемых"
"Айланмадан олинадиган солиқ", "Налог с оборота"
"Молиявий ҳисоботлар
(Вазирликлар, идоралар, уюшмалар, корпорациялар, концернлар ва давлат мулкини бошқарувчи бошқа органлар учун)", "Финансовая отчетность
(Для министерств, ведомств, ассоциаций, корпораций, концернов и других органов управления государственным имуществом)"
"Молиявий ҳисоботлар
(Хорижий сармоялар иштирокидаги корхоналар ва чет эл фирмаларининг ваколатхоналари учун)", "Финансовая отчетность
(Для предприятий с иностранными инвестициями и представительств иностранных фирм)"
